Protein ID,Annotation,# proteins in the group,# Unique peptides, P-Value HF:PG_Pyr,Fold change PG_Pyr/HF,Fold change HF/PG_Pyr, P-Value HF:PG_Pyr_Xyl:,Fold changePG_Pyr_Xyl/HF,Fold change HF/PG_Pyr_Xyl, P-Value HF:WT,Fold change WT/HF,Fold change HF/WT,P-Value PG_Pyr/PG_Pyr_Xyl,Fold change PG_Pyr_Xyl/ PG_Pyr,Fold change PG_Pyr/ PG_Pyr_Xyl,P-Value PG_Pyr:WT,Fold change WT/ PG_Pyr,Fold change PG_Pyr/WT,P-Value PG_Pyr_Xyl:WT,Fold change WT/ PG_Pyr_Xyl,Fold change PG_Pyr_Xyl/WT,HF1a,HF1b,HF1c,PG1-pyr,PG2-pyr,PG5-pyr,PG1-pyrXyl,PG2-pyrXyl,PG5-pyrXyl,WTa,WTb,WTc
U5M5K6,U5M5K6_ECOLI Galactofuranose binding proteint: periplasmic-binding component of ABC superfamily OS=Escherichia coli C321.deltaA GN=ytfQ PE=4 SV=1,1,8,0.07900,2.3,0.4,0.03928,9.2,0.1,0.01684,5.0,0.2,0.14137,3.9,0.3,0.15079,2.1,0.5,0.47740,0.5,1.8,8.77E+08,1.94E+09,1.59E+09,1.89E+09,4.30E+09,4.27E+09,6.37E+09,5.13E+10,6.38E+09,1.22E+10,7.27E+09,3.86E+09
U5M034,U5M034_ECOLI 50S ribosomal protein L25 OS=Escherichia coli C321.deltaA GN=rplY PE=3 SV=1,1,15,0.07926,0.6,1.8,0.67641,1.1,0.9,0.39096,1.3,0.8,0.00017,2.0,0.5,0.00303,2.4,0.4,0.29087,1.2,0.9,2.44E+11,5.32E+11,4.94E+11,2.11E+11,2.43E+11,2.12E+11,4.63E+11,4.53E+11,4.28E+11,5.73E+11,6.12E+11,4.08E+11
U5LYP0,U5LYP0_ECOLI Conserved protein with FAD/NAD(P)-binding domain OS=Escherichia coli C321.deltaA GN=ydhS PE=4 SV=1,1,4,0.07940,0.4,2.7,0.41103,0.6,1.7,0.25290,0.5,2.1,0.37422,1.6,0.6,0.53158,1.3,0.8,0.75925,0.8,1.2,1.31E+09,5.24E+09,3.68E+09,8.69E+08,1.20E+09,1.20E+09,1.06E+09,4.05E+09,1.13E+09,2.07E+09,1.98E+09,6.71E+08
U5LW56,U5LW56_ECOLI Putative amidotransfease OS=Escherichia coli C321.deltaA GN=yafJ PE=4 SV=1,1,7,0.07967,0.6,1.8,0.14721,0.6,1.5,0.01214,0.2,4.2,0.67852,1.1,0.9,0.08591,0.4,2.4,0.05756,0.4,2.7,4.90E+09,7.09E+09,6.29E+09,4.43E+09,4.04E+09,2.21E+09,2.71E+09,5.70E+09,3.87E+09,9.68E+08,1.17E+09,2.66E+09
U5M8F1,"U5M8F1_ECOLI Conserved protein, UPF0438 family OS=Escherichia coli C321.deltaA GN=yifE PE=4 SV=1",1,9,0.07971,1.4,0.7,0.21892,1.3,0.8,0.16444,1.2,0.8,0.46245,0.9,1.1,0.18748,0.9,1.2,0.80366,1.0,1.0,1.03E+11,1.59E+11,1.31E+11,2.17E+11,1.86E+11,1.58E+11,1.55E+11,1.41E+11,2.05E+11,1.61E+11,1.64E+11,1.55E+11
U5M0T0,U5M0T0_ECOLI Histidine biosynthesis bifunctional protein HisIE OS=Escherichia coli C321.deltaA GN=hisI PE=3 SV=1,1,6,0.07997,3.0,0.3,0.09323,1.7,0.6,0.59241,0.9,1.2,0.23701,0.6,1.8,0.04066,0.3,3.5,0.00251,0.5,2.0,6.71E+09,1.43E+10,1.26E+10,5.61E+10,1.45E+10,3.99E+10,1.74E+10,1.99E+10,1.69E+10,1.00E+10,1.00E+10,7.77E+09
U5M1K4,"U5M1K4_ECOLI Stress-induced protein, ATP-binding protein OS=Escherichia coli C321.deltaA GN=uspF PE=4 SV=1",1,8,0.08024,2.8,0.4,0.40232,1.8,0.6,0.27952,2.3,0.4,0.40726,0.6,1.6,0.70978,0.8,1.2,0.74761,1.3,0.8,6.07E+09,2.34E+10,1.99E+10,3.22E+10,4.99E+10,3.91E+10,1.16E+10,5.77E+10,2.48E+10,5.04E+10,5.68E+10,1.18E+10
U5LYM5,U5LYM5_ECOLI Ribonuclease T OS=Escherichia coli C321.deltaA GN=rnt PE=3 SV=1,1,2,0.08177,0.3,3.9,0.36108,0.0,719.4,0.44250,0.7,1.5,0.46116,0.0,184.1,0.21711,2.7,0.4,0.38711,492.4,0.0,2.50E+08,1.62E+08,3.41E+08,2.05E+07,1.03E+08,1.09E+08,4.93E+08,1.00E+00,7.49E+07,7.80E+07,2.90E+08,1.95E+08
U5M0C7,U5M0C7_ECOLI Carboxy-terminal protease for penicillin-binding protein 3 OS=Escherichia coli C321.deltaA GN=prc PE=3 SV=1,1,17,0.08287,2.0,0.5,0.31071,1.2,0.9,0.07059,1.3,0.8,0.16378,0.6,1.7,0.25443,0.7,1.5,0.45419,1.1,0.9,2.57E+10,2.23E+10,2.65E+10,2.73E+10,6.61E+10,6.27E+10,2.30E+10,3.05E+10,3.36E+10,2.93E+10,2.95E+10,3.93E+10
,,1,1,0.08334,0.7,1.4,0.60256,1.1,0.9,0.84086,1.0,1.0,0.09414,1.5,0.6,0.29828,1.4,0.7,0.62891,0.9,1.1,1.04E+10,1.26E+10,1.16E+10,8.60E+09,1.00E+10,6.23E+09,1.10E+10,1.65E+10,1.08E+10,1.56E+10,1.13E+10,7.55E+09
U5LZR9,U5LZR9_ECOLI Universal stress protein UP12 OS=Escherichia coli C321.deltaA GN=uspG PE=4 SV=1,1,7,0.08376,2.5,0.4,0.18721,2.0,0.5,0.43058,0.7,1.5,0.38162,0.8,1.2,0.01233,0.3,3.7,0.03424,0.3,3.0,3.32E+10,1.15E+11,8.76E+10,1.37E+11,1.89E+11,1.92E+11,9.71E+10,1.93E+11,1.36E+11,6.25E+10,5.94E+10,2.61E+10
U5LZK0,U5LZK0_ECOLI Putative mannosyl-3-phosphoglycerate phosphatase OS=Escherichia coli C321.deltaA GN=yedP PE=3 SV=1,1,5,0.08423,0.7,1.4,0.64564,0.7,1.4,0.02818,0.5,2.2,0.99979,1.0,1.0,0.16114,0.6,1.6,0.56099,0.6,1.6,9.76E+09,1.20E+10,1.08E+10,9.88E+09,7.53E+09,6.28E+09,3.87E+09,2.93E+10,4.13E+09,3.30E+09,7.07E+09,5.30E+09
U5LYM2,U5LYM2_ECOLI Formyltetrahydrofolate hydrolase OS=Escherichia coli C321.deltaA GN=purU PE=4 SV=1,1,7,0.08428,0.7,1.5,0.70974,1.1,0.9,0.97574,1.0,1.0,0.08258,1.6,0.6,0.04439,1.5,0.7,0.68885,0.9,1.1,3.23E+10,3.71E+10,2.37E+10,1.69E+10,2.54E+10,1.93E+10,2.97E+10,4.76E+10,2.63E+10,2.85E+10,2.83E+10,3.58E+10
U5LY61,U5LY61_ECOLI Bifunctional riboflavin kinase/FAD synthetase OS=Escherichia coli C321.deltaA GN=ribF PE=4 SV=1,1,4,0.08450,0.6,1.6,0.99487,1.0,1.0,0.01177,0.4,2.3,0.33933,1.6,0.6,0.17276,0.7,1.4,0.12227,0.4,2.3,3.81E+09,2.56E+09,3.65E+09,2.25E+09,2.57E+09,1.48E+09,1.92E+09,7.22E+09,2.55E+09,1.90E+09,1.26E+09,1.21E+09
U5M1H7,U5M1H7_ECOLI Conserved protein with NAD(P)-binding Rossmann-fold domain OS=Escherichia coli C321.deltaA GN=yfcH PE=4 SV=1,1,6,0.08558,0.9,1.1,0.97319,1.0,1.0,0.29665,0.6,1.8,0.84769,1.1,0.9,0.39597,0.6,1.6,0.46021,0.6,1.8,1.18E+10,1.23E+10,1.27E+10,1.18E+10,1.10E+10,9.91E+09,6.12E+09,3.24E+10,8.81E+09,9.01E+09,1.33E+10,2.56E+09
U5M379,"U5M379_ECOLI Ornithine decarboxylase, constitutive OS=Escherichia coli C321.deltaA GN=speC PE=4 SV=1",1,4,0.08559,0.4,2.8,0.27668,0.7,1.4,0.50292,0.8,1.3,0.27690,1.9,0.5,0.25226,2.1,0.5,0.83274,1.1,0.9,3.56E+09,3.04E+09,2.47E+09,2.08E+09,4.75E+08,1.29E+09,2.44E+09,2.99E+09,1.21E+09,1.94E+09,1.37E+09,4.48E+09
U5M5S1,U5M5S1_ECOLI GlcG OS=Escherichia coli C321.deltaA GN=glcG PE=4 SV=1,1,4,0.08647,4.2,0.2,0.22007,2.4,0.4,0.03671,5.4,0.2,0.54683,0.6,1.7,0.77301,1.3,0.8,0.36183,2.2,0.4,3.49E+09,3.33E+09,2.23E+09,4.29E+09,3.61E+10,1.22E+10,3.15E+09,2.19E+10,5.11E+09,1.08E+10,4.48E+10,8.26E+09
U5M9K7,"U5M9K7_ECOLI Mechanosensitive channel protein, miniconductance OS=Escherichia coli C321.deltaA GN=mscM PE=4 SV=1",1,3,0.08692,0.0,198835.6,0.39961,0.0,293.5,0.31580,0.0,653.4,0.46333,677.6,0.0,0.50259,304.3,0.0,0.92710,0.4,2.2,8.20E+07,1.15E+07,8.11E+07,9.77E+06,1.00E+00,1.00E+00,1.00E+00,2.26E+08,1.34E+07,3.27E+06,8.41E+07,1.00E+00
U5M238,U5M238_ECOLI Phospho-2-dehydro-3-deoxyheptonate aldolase OS=Escherichia coli C321.deltaA GN=aroF PE=3 SV=1,2,15,0.08706,0.1,12.6,0.22036,0.2,6.5,0.37022,0.3,3.5,0.40403,1.9,0.5,0.10473,3.6,0.3,0.52033,1.9,0.5,1.43E+10,4.89E+11,2.86E+11,1.12E+10,1.38E+10,6.51E+09,8.06E+09,7.27E+10,1.25E+10,9.59E+10,1.33E+10,3.69E+10
U5M069,U5M069_ECOLI tRNA (mo5U34)-methyltransferase OS=Escherichia coli C321.deltaA GN=cmoB PE=3 SV=1,1,2,0.08733,3.4,0.3,0.12261,3.2,0.3,0.87383,0.9,1.1,0.76345,0.9,1.1,0.00894,0.3,3.8,0.02429,0.3,3.5,1.75E+08,8.29E+08,9.31E+08,2.15E+09,1.51E+09,1.69E+09,2.62E+09,1.24E+09,1.31E+09,6.23E+08,5.82E+08,2.75E+08
U5LZG2,"U5LZG2_ECOLI Succinate semialdehyde dehydrogenase, NAD(P)+-dependent OS=Escherichia coli C321.deltaA GN=sad PE=3 SV=1",1,2,0.08772,93503.4,0.0,0.37390,0.0,161.2,0.04898,1640085.4,0.0,0.00000,0.0,15075358.7,0.01088,17.5,0.1,0.00001,264427552.0,0.0,4.19E+06,1.00E+00,1.00E+00,1.06E+07,1.35E+07,2.40E+07,1.00E+00,1.00E+00,1.00E+00,9.12E+07,6.97E+08,2.91E+08
U5M0C0,U5M0C0_ECOLI Chromosome partition protein MukF OS=Escherichia coli C321.deltaA GN=mukF PE=3 SV=1,1,2,0.08808,0.4,2.3,0.21431,0.5,2.1,0.17389,1.5,0.7,0.87839,1.1,0.9,0.03140,3.3,0.3,0.08920,3.0,0.3,3.26E+09,3.38E+09,2.06E+09,9.96E+08,2.38E+09,8.13E+08,2.11E+09,5.36E+08,2.26E+09,3.25E+09,5.76E+09,3.84E+09
U5M2V3,U5M2V3_ECOLI Putative N-acetylmannosamine-6-phosphate 2-epimerase OS=Escherichia coli C321.deltaA GN=nanE PE=3 SV=1,1,3,0.08811,529560.1,0.0,0.99212,0.9,1.1,0.48070,757.0,0.0,0.08356,0.0,577113.8,0.35512,0.0,699.6,0.47257,825.0,0.0,1.00E+00,1.00E+00,3.95E+07,7.00E+08,9.83E+07,8.53E+07,3.05E+07,1.00E+00,1.00E+00,1.00E+00,1.84E+08,9.34E+07
U5M3V6,U5M3V6_ECOLI Xylose import ATP-binding protein XylG OS=Escherichia coli C321.deltaA GN=xylG PE=3 SV=1,1,18,0.08841,3.9,0.3,0.00015,42.8,0.0,0.03384,0.1,10.5,0.01417,11.1,0.1,0.01476,0.0,40.5,0.00107,0.0,449.5,9.59E+08,2.06E+09,1.25E+09,1.83E+09,1.23E+10,6.36E+09,7.73E+10,5.34E+10,4.72E+10,2.79E+08,2.45E+08,3.14E+07
U5LZU7,U5LZU7_ECOLI Transpeptidase involved in peptidoglycan synthesis (Penicillin-binding protein 2) OS=Escherichia coli C321.deltaA GN=mrdA PE=4 SV=1,1,1,0.08848,0.6,1.6,0.22898,0.2,4.2,0.63974,0.8,1.2,0.40601,0.4,2.6,0.59346,1.3,0.8,0.32508,3.4,0.3,4.12E+08,3.59E+08,4.47E+08,3.67E+08,1.82E+08,2.35E+08,3.70E+08,1.33E+07,1.81E+08,3.02E+08,1.67E+08,6.96E+08
U5M6C7,U5M6C7_ECOLI UPF0307 protein YjgA OS=Escherichia coli C321.deltaA GN=yjgA PE=3 SV=1,1,6,0.08850,0.6,1.6,0.74483,0.9,1.1,0.11221,0.7,1.5,0.24069,1.5,0.7,0.74425,1.1,0.9,0.31212,0.7,1.4,2.34E+10,3.79E+10,3.35E+10,2.63E+10,1.58E+10,1.66E+10,2.19E+10,4.48E+10,2.27E+10,2.00E+10,2.66E+10,1.63E+10
U5LY75,U5LY75_ECOLI Multicopper oxidase (Laccase) OS=Escherichia coli C321.deltaA GN=cueO PE=4 SV=1,1,5,0.08871,0.6,1.7,0.69472,0.9,1.1,0.43539,0.7,1.4,0.13794,1.5,0.6,0.50484,1.3,0.8,0.60997,0.8,1.2,5.53E+09,1.12E+10,8.26E+09,5.66E+09,4.88E+09,3.52E+09,5.19E+09,9.97E+09,6.94E+09,7.41E+09,3.24E+09,8.34E+09
U5LWU9,U5LWU9_ECOLI Dihydroorotate dehydrogenase (quinone) OS=Escherichia coli C321.deltaA GN=pyrD PE=3 SV=1,1,14,0.08883,0.4,2.3,0.44664,1.4,0.7,0.09857,1.5,0.7,0.06975,3.2,0.3,0.01944,3.6,0.3,0.80158,1.1,0.9,2.58E+10,1.82E+10,1.36E+10,4.21E+09,1.26E+10,9.53E+09,1.62E+10,5.11E+10,2.09E+10,2.72E+10,3.28E+10,2.58E+10
U5M4Q0,U5M4Q0_ECOLI Ribonuclease 3 OS=Escherichia coli C321.deltaA GN=rnc PE=3 SV=1,1,7,0.08918,0.6,1.8,0.38691,0.8,1.3,0.93730,1.0,1.0,0.35962,1.4,0.7,0.13918,1.8,0.6,0.43664,1.3,0.7,1.14E+10,6.44E+09,7.83E+09,5.40E+09,5.99E+09,3.22E+09,4.63E+09,9.69E+09,5.74E+09,5.52E+09,8.31E+09,1.35E+10
U5M6Y1,U5M6Y1_ECOLI 50S ribosomal protein L13 OS=Escherichia coli C321.deltaA GN=rplM PE=3 SV=1,1,20,0.08952,0.6,1.8,0.91301,1.0,1.0,0.97290,1.0,1.0,0.04682,1.7,0.6,0.07338,1.7,0.6,0.93847,1.0,1.0,1.64E+11,3.83E+11,2.85E+11,1.65E+11,1.37E+11,1.44E+11,3.31E+11,1.80E+11,2.70E+11,3.84E+11,2.54E+11,1.77E+11
U5M346,U5M346_ECOLI Periplasmic endochitinase OS=Escherichia coli C321.deltaA GN=chiA PE=4 SV=1,1,4,0.08998,3.9,0.3,0.03926,9.6,0.1,0.40751,2.2,0.4,0.35099,2.5,0.4,0.60014,0.6,1.7,0.24290,0.2,4.3,1.15E+08,1.34E+08,4.80E+07,1.47E+08,3.31E+08,8.90E+08,4.54E+08,4.25E+08,3.35E+09,3.89E+08,5.34E+08,4.02E+07
U5M8L8,U5M8L8_ECOLI Fatty acid oxidation complex subunit alpha OS=Escherichia coli C321.deltaA GN=fadB PE=3 SV=1,1,12,0.09014,2.9,0.3,0.07756,3.9,0.3,0.01556,7.6,0.1,0.57707,1.3,0.7,0.07248,2.6,0.4,0.26547,1.9,0.5,1.58E+09,6.14E+09,4.14E+09,6.04E+09,1.45E+10,1.13E+10,7.71E+09,3.02E+10,1.04E+10,2.32E+10,4.52E+10,1.65E+10
U5LWV5,"U5LWV5_ECOLI Methionine aminotransferase, PLP-dependent OS=Escherichia coli C321.deltaA GN=ybdL PE=4 SV=1",1,4,0.09026,0.8,1.2,0.63183,0.8,1.2,0.23945,0.7,1.4,0.97651,1.0,1.0,0.60318,0.9,1.1,0.82237,0.9,1.1,7.97E+09,1.01E+10,1.04E+10,7.87E+09,7.92E+09,7.58E+09,6.36E+09,4.43E+09,1.62E+10,4.87E+09,6.86E+09,9.98E+09
U5LZS9,"U5LZS9_ECOLI Glyoxalase I, Ni-dependent OS=Escherichia coli C321.deltaA GN=gloA PE=4 SV=1",1,3,0.09049,1.6,0.6,0.05698,1.7,0.6,0.15161,1.5,0.7,0.41304,1.1,0.9,0.81175,1.0,1.0,0.47436,0.9,1.1,1.85E+10,3.53E+10,2.85E+10,4.46E+10,3.64E+10,4.39E+10,4.54E+10,4.08E+10,4.79E+10,3.96E+10,5.04E+10,3.19E+10
U5M943,U5M943_ECOLI DNA-directed RNA polymerase subunit beta' OS=Escherichia coli C321.deltaA GN=rpoC PE=3 SV=1,1,77,0.09051,0.6,1.7,0.77505,1.0,1.1,0.75887,0.9,1.1,0.07357,1.6,0.6,0.07407,1.6,0.6,0.97427,1.0,1.0,1.37E+11,2.24E+11,2.00E+11,1.55E+11,9.74E+10,8.51E+10,1.61E+11,2.01E+11,1.63E+11,1.65E+11,1.99E+11,1.59E+11
U5M5Y5,"U5M5Y5_ECOLI Inner membrane protein, DUF485 family OS=Escherichia coli C321.deltaA GN=yjcH PE=4 SV=1",1,1,0.09060,18.5,0.1,0.06463,33.8,0.0,0.00234,689.1,0.0,0.70011,1.8,0.5,0.02508,37.2,0.0,0.05597,20.4,0.0,1.15E+06,2.43E+07,6.38E+06,2.43E+07,6.63E+08,7.04E+07,5.98E+07,1.63E+09,7.06E+07,2.42E+09,7.68E+09,3.14E+09
U5LZ90,"U5LZ90_ECOLI Polyhydroxybutyrate (PHB) synthase, ABC transporter periplasmic binding protein-like protein OS=Escherichia coli C321.deltaA GN=ydcS PE=4 SV=1",1,13,0.09072,1.8,0.5,0.32529,2.7,0.4,0.05634,5.2,0.2,0.69685,1.5,0.7,0.18069,2.8,0.4,0.56361,1.9,0.5,3.67E+09,5.48E+09,6.19E+09,9.19E+09,1.37E+10,6.23E+09,4.76E+09,7.57E+10,6.75E+09,1.60E+10,8.65E+10,1.29E+10
U5M199,U5M199_ECOLI Histidine/lysine/arginine/ornithine transporter subunit OS=Escherichia coli C321.deltaA GN=hisP PE=3 SV=1,1,3,0.09117,0.2,4.8,0.11658,0.1,13.9,0.91665,0.9,1.1,0.41400,0.3,2.9,0.01996,4.4,0.2,0.09684,12.8,0.1,5.07E+09,5.80E+08,9.18E+08,3.48E+08,4.03E+08,1.76E+08,1.33E+08,6.18E+08,1.22E+07,8.56E+08,2.32E+09,1.07E+09
U5M005,U5M005_ECOLI Putative GTP cyclohydrolase 1 type 2 OS=Escherichia coli C321.deltaA GN=ybgI PE=3 SV=1,1,10,0.09143,0.7,1.4,0.00459,0.9,1.1,0.02634,0.7,1.5,0.22122,1.3,0.8,0.91080,1.0,1.0,0.08204,0.8,1.3,1.16E+11,1.13E+11,1.12E+11,1.06E+11,7.66E+10,5.95E+10,1.03E+11,1.01E+11,9.65E+10,6.76E+10,6.91E+10,9.62E+10
U5LWC3,U5LWC3_ECOLI Putative deaminase with metallo-dependent hydrolase domain OS=Escherichia coli C321.deltaA GN=yahJ PE=4 SV=1,1,3,0.09144,1.4,0.7,0.43418,1.3,0.8,0.06511,0.5,1.9,0.79040,0.9,1.1,0.01270,0.4,2.7,0.05587,0.4,2.5,2.18E+09,1.66E+09,2.66E+09,2.67E+09,2.95E+09,3.30E+09,1.67E+09,4.03E+09,3.07E+09,7.15E+08,1.47E+09,1.28E+09
U5M0U4,U5M0U4_ECOLI Putative regulatory subunit for GalU OS=Escherichia coli C321.deltaA GN=wcaN PE=4 SV=1,1,12,0.09184,0.4,2.7,0.68507,0.8,1.2,0.42785,1.5,0.7,0.07763,2.2,0.5,0.01019,4.1,0.2,0.15057,1.8,0.5,3.25E+10,1.12E+11,1.04E+11,2.00E+10,3.98E+10,2.42E+10,5.13E+10,9.73E+10,4.05E+10,1.27E+11,1.45E+11,6.94E+10
U5M1D5,U5M1D5_ECOLI Uncharacterized protein OS=Escherichia coli C321.deltaA GN=yciS PE=4 SV=1,1,1,0.09259,0.5,1.9,0.33828,0.8,1.3,0.54207,0.9,1.1,0.29399,1.5,0.7,0.11144,1.8,0.6,0.46861,1.2,0.8,1.35E+09,1.96E+09,1.80E+09,1.08E+09,1.21E+09,4.95E+08,9.73E+08,1.92E+09,1.20E+09,1.41E+09,1.54E+09,1.70E+09
U5LYT8,U5LYT8_ECOLI 2-deoxyglucose-6-P phosphatase OS=Escherichia coli C321.deltaA GN=yniC PE=4 SV=1,1,6,0.09276,1.8,0.5,0.07001,2.3,0.4,0.45495,1.4,0.7,0.33972,1.3,0.8,0.31839,0.7,1.3,0.18468,0.6,1.7,6.29E+09,1.60E+10,1.08E+10,1.78E+10,2.08E+10,1.81E+10,2.94E+10,1.57E+10,2.86E+10,2.30E+10,9.75E+09,1.22E+10
U5M2W8,"U5M2W8_ECOLI Putative oxidoreductase, Fe-S subunit OS=Escherichia coli C321.deltaA GN=ygfK PE=4 SV=1",1,1,0.09284,2.0,0.5,0.37961,1.5,0.7,0.08906,0.4,2.2,0.30971,0.8,1.3,0.00191,0.2,4.4,0.01934,0.3,3.3,1.92E+09,4.90E+09,4.57E+09,6.41E+09,7.37E+09,6.76E+09,5.48E+09,3.27E+09,7.54E+09,2.12E+09,1.67E+09,1.07E+09
U5M9F1,U5M9F1_ECOLI YjdN OS=Escherichia coli C321.deltaA GN=yjdN PE=4 SV=1,1,4,0.09365,0.7,1.5,0.77500,0.8,1.3,0.03724,0.4,2.8,0.90575,1.1,0.9,0.14425,0.5,1.9,0.48513,0.5,2.1,1.42E+10,1.08E+10,9.81E+09,9.95E+09,6.06E+09,7.60E+09,2.40E+09,5.06E+10,5.36E+09,3.88E+09,7.30E+09,2.48E+09
U5M5G9,U5M5G9_ECOLI Protein CsiD OS=Escherichia coli C321.deltaA GN=csiD PE=3 SV=1,1,7,0.09394,0.8,1.2,0.90127,1.1,0.9,0.00004,9.4,0.1,0.63833,1.3,0.8,0.00005,11.4,0.1,0.01270,8.8,0.1,2.11E+09,2.18E+09,2.41E+09,2.11E+09,1.84E+09,1.62E+09,1.38E+09,6.40E+09,1.53E+09,1.86E+10,2.59E+10,1.93E+10
U5M3V7,U5M3V7_ECOLI Conserved protein with nucleoside triphosphate hydrolase domain OS=Escherichia coli C321.deltaA GN=yhcM PE=4 SV=1,1,3,0.09454,1259962.8,0.0,0.08090,3154739.5,0.0,0.52125,587.8,0.0,0.07509,2.5,0.4,0.29752,0.0,2143.7,0.25167,0.0,5367.4,1.00E+00,2.42E+08,1.00E+00,8.21E+08,5.42E+08,1.09E+09,3.26E+09,1.07E+09,2.18E+09,2.74E+08,1.79E+08,1.00E+00
U5M2G4,"U5M2G4_ECOLI 2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase OS=Escherichia coli C321.deltaA GN=ispF PE=3 SV=1",1,4,0.09513,2.9,0.3,0.29224,1.9,0.5,0.39974,1.7,0.6,0.15366,0.7,1.5,0.08177,0.6,1.8,0.68532,0.9,1.2,1.55E+09,7.33E+09,6.19E+09,1.11E+10,1.20E+10,1.33E+10,9.58E+09,5.03E+09,1.05E+10,8.91E+09,8.61E+09,4.29E+09
U5M4H5,U5M4H5_ECOLI 3-octaprenyl-4-hydroxybenzoate carboxy-lyase OS=Escherichia coli C321.deltaA GN=ubiD PE=3 SV=1,1,7,0.09576,1.4,0.7,0.27572,1.4,0.7,0.69455,0.9,1.1,0.86116,1.0,1.0,0.09099,0.6,1.5,0.21894,0.7,1.5,3.79E+09,5.04E+09,5.54E+09,7.93E+09,7.23E+09,5.37E+09,4.91E+09,9.90E+09,5.52E+09,4.46E+09,3.27E+09,5.67E+09
U5M6P6,U5M6P6_ECOLI DNA-binding transcriptional repressor of the aga regulon OS=Escherichia coli C321.deltaA GN=agaR PE=4 SV=1,1,2,0.09650,0.6,1.8,0.64120,0.6,1.7,0.46001,0.7,1.4,0.98039,1.0,1.0,0.43760,1.3,0.8,0.83941,1.3,0.8,6.35E+08,1.19E+09,1.44E+09,5.38E+08,7.07E+08,5.01E+08,1.75E+09,6.94E+07,1.71E+09,1.02E+09,9.96E+08,4.19E+08
U5M015,U5M015_ECOLI YdjY OS=Escherichia coli C321.deltaA GN=ydjY PE=4 SV=1,1,1,0.09765,2.8,0.4,0.32832,2.1,0.5,0.59796,0.7,1.4,0.61614,0.8,1.3,0.02307,0.3,3.9,0.14946,0.3,3.0,2.53E+08,4.11E+08,1.23E+09,1.65E+09,1.36E+09,1.24E+09,4.04E+08,1.90E+09,1.60E+09,1.92E+08,6.95E+08,3.45E+08
U5LX41,"U5LX41_ECOLI Glutamate, aspartate ABC transporter ATP-binding subunit OS=Escherichia coli C321.deltaA GN=gltL PE=3 SV=1",1,2,0.09794,0.5,2.2,0.99802,1.0,1.0,0.03065,2.2,0.5,0.26888,2.2,0.5,0.00818,4.8,0.2,0.22491,2.2,0.5,1.31E+09,2.66E+09,2.00E+09,7.10E+08,1.58E+09,6.03E+08,9.93E+08,5.46E+09,1.29E+09,3.68E+09,5.28E+09,3.73E+09
U5M7U7,U5M7U7_ECOLI Dipeptide transporter OS=Escherichia coli C321.deltaA GN=dppA PE=4 SV=1,1,44,0.09814,1.9,0.5,0.01738,3.3,0.3,0.05316,2.2,0.4,0.11407,1.8,0.6,0.57794,1.2,0.9,0.21779,0.7,1.5,1.09E+11,2.36E+11,1.33E+11,2.02E+11,3.01E+11,3.89E+11,5.48E+11,3.42E+11,6.84E+11,4.63E+11,3.39E+11,2.44E+11
U5M791,U5M791_ECOLI C4-dicarboxylate transport protein OS=Escherichia coli C321.deltaA GN=dctA PE=3 SV=1,1,1,0.09815,5703622.5,0.0,0.49098,2874.5,0.0,0.50398,2001.6,0.0,0.37653,0.0,1984.2,0.34478,0.0,2849.6,0.97451,0.7,1.4,1.00E+00,1.00E+00,2.65E+09,9.05E+09,1.33E+10,4.09E+09,1.00E+00,2.75E+10,2.29E+09,2.59E+09,8.20E+09,1.00E+00
U5M561,U5M561_ECOLI CRISP RNA (CrRNA) containing Cascade antiviral complex protein OS=Escherichia coli C321.deltaA GN=casD PE=4 SV=1,1,2,0.09833,21555.6,0.0,0.06192,86543.2,0.0,0.22372,696.5,0.0,0.39028,4.0,0.2,0.12938,0.0,30.9,0.01157,0.0,124.2,1.00E+00,1.62E+06,1.47E+05,4.02E+08,7.71E+06,7.67E+08,6.26E+08,4.11E+08,5.98E+08,1.61E+06,3.76E+07,1.33E+06
U5M1B3,U5M1B3_ECOLI Signal recognition particle protein OS=Escherichia coli C321.deltaA GN=ffh PE=3 SV=1,1,11,0.09898,0.7,1.5,0.26664,0.9,1.2,0.31189,0.9,1.1,0.22711,1.2,0.8,0.17308,1.3,0.8,0.75687,1.0,1.0,1.22E+10,1.75E+10,1.54E+10,1.35E+10,8.79E+09,8.97E+09,1.43E+10,1.20E+10,1.18E+10,1.20E+10,1.31E+10,1.39E+10
U5M424,U5M424_ECOLI Cytidine deaminase OS=Escherichia coli C321.deltaA GN=cdd PE=3 SV=1,1,9,0.09930,0.7,1.5,0.81393,0.9,1.1,0.08246,0.6,1.8,0.51665,1.3,0.8,0.48832,0.8,1.2,0.31713,0.6,1.6,4.41E+10,5.56E+10,5.75E+10,4.85E+10,3.21E+10,2.96E+10,2.76E+10,9.42E+10,4.09E+10,1.92E+10,4.44E+10,2.81E+10
